region,zone,woreda,adm3_pcode,hf_name,hf_id,otp_admitted_t1,otp_admitted_t2,otp_active_t1,otp_active_t2,lmri_t1_days,lmri_t2_days,lmri_t1_critical (0/1),lmri_t2_critical (0/1),lmri_delta (t2_days - t1_days),reporting_months_t1,reporting_months_t2,data_reliability_score_t2 (reporting_months_t2 / 6),low_data_flag (1 si DRS < 0.5),rutf_supply_modality_t1,rutf_supply_modality_t2
Tigray,South Eastern,Samree,ET010606,Berezba Health post,ET010606|berezba health post|01,9,8,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Balay,ET050601|balay|01,20,23,1,1,22.0,52.0,0.0,1.0,30.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Gudhis,ET050601|gudhis|01,34,77,1,1,18.0,22.0,0.0,0.0,4.0,,,,,0.0,0.0
Tigray,South Eastern,Samree,ET010606,Samre primary Hospital,ET010606|samre primary hospital|01,22,31,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Makule,ET050601|makule|01,9,56,1,1,20.0,25.0,0.0,0.0,5.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,birtadher,ET050601|birtadher|01,12,34,1,1,14.0,17.0,0.0,0.0,3.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Sigadhere,ET050601|sigadhere|01,42,76,1,1,11.0,19.0,0.0,0.0,8.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Belken,ET050601|belken|01,1,23,1,1,27.0,28.0,0.0,0.0,1.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Kusgel,ET050601|kusgel|01,15,62,1,1,14.0,18.0,0.0,0.0,4.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,qansaxle,ET050601|qansaxle|01,17,30,1,1,20.0,16.0,0.0,0.0,-4.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Qudhacle,ET050601|qudhacle|01,12,76,1,1,26.0,32.0,0.0,1.0,6.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Bardale,ET050601|bardale|01,12,88,1,1,29.0,27.0,0.0,0.0,-2.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Mukey,ET050601|mukey|01,6,61,1,1,28.0,36.0,0.0,1.0,8.0,,,,,0.0,0.0
Somali,Shebele,Bercano,ET050608,Qorahda,ET050608|qorahda|01,20,19,1,1,28.0,42.0,0.0,1.0,14.0,,,,,0.0,0.0
Somali,Shebele,Bercano,ET050608,Sankabar,ET050608|sankabar|02,25,19,1,1,28.0,42.0,0.0,1.0,14.0,,,,,0.0,0.0
Somali,Shebele,Bercano,ET050608,Biyolow,ET050608|biyolow|02,31,24,1,1,28.0,42.0,0.0,1.0,14.0,,,,,0.0,0.0
Somali,Shebele,Bercano,ET050608,Libahful,ET050608|libahful|01,16,5,1,1,28.0,42.0,0.0,1.0,14.0,,,,,0.0,0.0
Tigray,North Western,Shire,ET010101,Alganesh health center,ET010101|alganesh health center|01,69,115,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,1.0
Tigray,North Western,Shire,ET010101,Umer health center,ET010101|umer health center|01,77,76,1,1,30.0,0.0,0.0,0.0,-30.0,,,,,1.0,1.0
Tigray,North Western,Shire,ET010101,Suhul General hospital,ET010101|suhul general hospital|01,0,0,0,0,,,,,,,,,,,
South Ethiopia,Ari zone,Jinka town,ET070709,Jinka Millinium Health center,ET070709|jinka millinium health center|01,12,12,1,1,0.0,30.0,0.0,0.0,30.0,,,,,0.0,0.0
Tigray,North Western,Shire,ET010101,Five Angel health center,ET010101|five angel health center|01,76,81,1,1,30.0,20.0,0.0,0.0,-10.0,,,,,1.0,1.0
Oromia,South West Shoa,Wolisso town,ET041303,Obi,ET041303|obi|01,2,8,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,South West Shoa,Wolisso town,ET041303,Doyo kora,ET041303|doyo kora|01,5,3,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,South West Shoa,Wolisso town,ET041303,Dase jabo,ET041303|dase jabo|01,5,2,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,South West Shoa,Wolisso town,ET041303,Korke,ET041303|korke|01,7,12,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,South West Shoa,Wolisso town,ET041303,Dilela,ET041303|dilela|01,8,11,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,North Shewa,Debreberhan town,ET030520,Tebase Heath Center,ET030520|tebase heath center|01,0,6,0,1,,15.0,,0.0,,,,,,0.0,0.0
South Ethiopia,South Omo,Hamer Woreda,ET070704,Arbore Health Center,ET070704|arbore health center|01,6,8,1,1,30.0,30.0,0.0,0.0,0.0,,,,,0.0,0.0
South Ethiopia,Ari zone,South Ari,ET070702,Gazer primary hospital,ET070702|gazer primary hospital|01,0,0,0,0,,,,,,,,,,,
Somali,Fafan,Harawa,ET050299,Dharwanaje health center,ET050299|dharwanaje health center|01,82,75,1,1,60.0,0.0,1.0,0.0,-60.0,,,,,0.0,0.0
Amhara,North Shewa,Debreberhan town,ET030520,Ayer Tena Health Center,ET030520|ayer tena health center|01,20,24,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,South West Shoa,Wolisso town,ET041303,chirecha Wemberi,ET041303|chirecha wemberi|01,11,12,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,North Shewa,Debreberhan town,ET030520,Debre-Berhan Health Center,ET030520|debre-berhan health center|01,20,38,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
South Ethiopia,South Omo,Turmi Town,ET070704,Turmi Health Center,ET070704|turmi health center|01,0,0,0,0,,,,,,,,,,,
South Ethiopia,South Omo,Hamer Woreda,ET070704,Karadus Health Center,ET070704|karadus health center|01,ND,8,1,1,0.0,35.0,0.0,1.0,35.0,,,,,0.0,0.0
South Ethiopia,Ari zone,Baka Dawula,ET070710,Bitemal Health center,ET070710|bitemal health center|01,0,0,0,0,,,,,,,,,,,
Tigray,North Western,Indabaguna,ET010114,Indabaguna primary hospital,ET010114|indabaguna primary hospital|01,32,32,1,1,30.0,15.0,0.0,0.0,-15.0,,,,,1.0,1.0
Oromia,South West Shoa,Becho,ET041309,Tullu Bollo health center,ET041309|tullu bollo health center|01,33,29,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,South West Shoa,Becho,ET041309,Awash Bune health center,ET041309|awash bune health center|01,38,34,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,South West Shoa,Wolisso town,ET041303,Woliso Health Center Two,ET041303|woliso health center two|01,4,16,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,South West Shoa,Wolisso town,ET041303,Woliso Health Center One,ET041303|woliso health center one|01,19,16,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
South Ethiopia,South Omo,Hamer Woreda,ET070704,Shanko Health Center,ET070704|shanko health center|01,5,7,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
South Ethiopia,South Omo,Dimeka Town,ET070704,Dimeka Health Center,ET070704|dimeka health center|01,0,4,0,1,,20.0,,0.0,,,,,,0.0,0.0
Gambella,Agnuak,Gamella town,ET120206,Gambella Town primary hospital,ET120206|gambella town primary hospital|01,258,245,1,1,7.0,0.0,0.0,0.0,-7.0,,,,,0.0,0.0
Gambella,Agnuak,Abobo,ET120201,Abobo Catholic Health Center,ET120201|abobo catholic health center|01,14,20,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Gambella,Agnuak,Abobo,ET120201,Meneder HC,ET120201|meneder hc|01,18,12,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Gambella,Agnuak,Abobo,ET120201,Ukuna Health Center,ET120201|ukuna health center|01,5,8,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Gambella,Agnuak,Gamella town,ET120206,Dozzer olami health center,ET120206|dozzer olami health center|01,25,55,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Gambella,Agnuak,Gambella Zuriya,ET120202,Bonga Health Center,ET120202|bonga health center|01,5,8,1,1,45.0,60.0,1.0,1.0,15.0,,,,,1.0,1.0
Gambella,Agnuak,Gambella Zuriya,ET120202,Abol Health Center,ET120202|abol health center|01,26,19,1,1,30.0,40.0,0.0,1.0,10.0,,,,,0.0,1.0
Tigray,Southern,Maichew,ET010409,Maichew 03,ET010409|maichew 03|01,43,27,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Maichew,ET010409,Maichew,ET010409|maichew|01,9,2,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Maichew,ET010409,Maichew 02,ET010409|maichew 02|01,22,14,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Kukufto,ET010406|kukufto|01,37,12,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Worebaye,ET010406|worebaye|01,45,27,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Mezbir HC,ET010202|mezbir hc|01,28,6,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Betegebeze,ET010202|betegebeze|01,26,16,1,1,1.0,0.0,0.0,0.0,-1.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Kara,ET010406|kara|01,0,0,0,0,,,,,,,,,,,
Somali,Afder,Hargelle,ET050806,HABALTREY,ET050806|habaltrey|01,15,37,1,1,0.0,15.0,0.0,0.0,15.0,,,,,0.0,1.0
Tigray,Southern,Raya Azebo,ET010406,Beru HP,ET010406|beru hp|01,8,10,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Kukufto HC,ET010406|kukufto hc|01,0,0,0,0,,,,,,,,,,,
Tigray,Southern,Raya Azebo,ET010406,Kara HP,ET010406|kara hp|01,9,12,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Mechare,ET010406|mechare|01,32,16,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Horda,ET010406|horda|01,13,18,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Ebo,ET010406|ebo|01,23,6,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Adiahferom HC,ET010202|adiahferom hc|01,27,31,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Kudo,ET010202|kudo|01,5,11,1,1,10.0,0.0,0.0,0.0,-10.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Sefo,ET010202|sefo|01,12,10,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Embaahferom HP,ET010202|embaahferom hp|01,13,13,1,1,0.0,30.0,0.0,0.0,30.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Mishig,ET010202|mishig|01,41,23,1,1,21.0,7.0,0.0,0.0,-14.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Mechare HC,ET010406|mechare hc|01,0,0,0,0,,,,,,,,,,,
Tigray,Southern,Raya Azebo,ET010406,Gerarsa HP,ET010406|gerarsa hp|01,25,21,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Raya Azebo,ET010406,Hawelti HC,ET010406|hawelti hc|01,31,26,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Dibdbo,ET010202|dibdbo|01,46,47,1,1,14.0,0.0,0.0,0.0,-14.0,,,,,0.0,0.0
Tigray,Southern,Mekoni,ET010412,Mekoni,ET010412|mekoni|01,31,5,1,1,0.0,38.0,0.0,1.0,38.0,,,,,0.0,0.0
Tigray,Southern,Mekoni,ET010412,Hawelti,ET010412|hawelti|01,9,17,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Mekoni,ET010412,Sengetra,ET010412|sengetra|01,1,1,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Liben,Kersadula,0,Kuracbul hp,0|kuracbul hp|01,11,6,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
Somali,Liben,Kersadula,0,Harabutun hp,0|harabutun hp|01,12,6,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
Somali,Liben,Kersadula,0,Karsadula hc,0|karsadula hc|01,66,59,1,1,30.0,45.0,0.0,1.0,15.0,,,,,0.0,0.0
Somali,Liben,Kersadula,0,Sara hp,0|sara hp|01,13,2,1,1,45.0,30.0,1.0,0.0,-15.0,,,,,0.0,0.0
Somali,Afder,Charati,ET050802,Gerare Hc,ET050802|gerare hc|01,46,37,1,1,30.0,30.0,0.0,0.0,0.0,,,,,1.0,1.0
