adm3_pcode,Region,Zone,Woreda,NGO,activity_code,activity_raw,funding_status
ET010220,Tigray,Central,Enticho town,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010220,Tigray,Central,Enticho town,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010216,Tigray,Central,Egela,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010216,Tigray,Central,Egela,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010216,Tigray,Central,Egela,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010216,Tigray,Central,Egela,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010309,Tigray,Eastern,Wukro town,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010309,Tigray,Eastern,Wukro town,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010309,Tigray,Eastern,Wukro town,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010309,Tigray,Eastern,Wukro town,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010604,Tigray,South Eastern,Degua Temben,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010604,Tigray,South Eastern,Degua Temben,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010217,Tigray,Central,Hahayle,Save the Children,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030302,Amhara,North Wello,Raya Kobo,Plan International,CAPACITY,Capacity Building,Fully funded
ET030302,Amhara,North Wello,Raya Kobo,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030302,Amhara,North Wello,Raya Kobo,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030302,Amhara,North Wello,Raya Kobo,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030302,Amhara,North Wello,Raya Kobo,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET030302,Amhara,North Wello,Raya Kobo,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030302,Amhara,North Wello,Raya Kobo,Plan International,COMMUNITY,Community led originated nutrition response,Fully funded
