Region,Zone,Woreda,adm3_pcode,ngo_count,ngo_types,activity_count,records,funding_statuses,coverage_index,ngo_list,activity_list,coverage_class
Oromia,Borena,Miyo,ET041216,2,2,3,11,2,5,Action Against Hunger; Action for Social Development and Environmental Protection Organization,IYCF -E  Infant and Young Child Feeding in Emergencies; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
Oromia,Borena,Moyale,ET041210,0,0,0,0,0,0,,,0
Tigray,Central,Naeder,ET010209,2,2,7,455,1,9,Save the Children; Tigray Development Association,Capacity Building; IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; Nutrition Supplement/medicine; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
Gambella,Itang Special woreda,Nguenyyiel refugee camp,ET120407,0,0,0,0,0,0,,,0
Benishangul Gumuz,Assosa,Oura,,0,0,0,0,0,0,,,0
Gambella,Agnuak,Pinyudo I refugee camp,ET120407,0,0,0,0,0,0,,,0
Gambella,Agnuak,Pinyudo II Refugee camp,ET120407,0,0,0,0,0,0,,,0
Tigray,Central,Rama,ET010214,0,0,0,0,0,0,,,0
Tigray,Southern,Raya Azebo,ET010406,2,1,3,3,1,5,Medical Teams International; World vision international,MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme,2
Amhara,North Wollo,Raya Kobo,ET030302,3,1,7,16,1,10,GOAL Ethiopia; Medecins Du Monde- France; Plan International,Capacity Building; Community led originated nutrition response; IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,3-4
Oromia,East Bale,Rayitu,ET042104,1,1,1,2,1,2,Save the Children,IYCF -E  Infant and Young Child Feeding in Emergencies,1
Tigray,South Eastern,Samree,ET010606,0,0,0,0,0,0,,,0
Oromia,East Wollega,Sasiga,ET040211,0,0,0,0,0,0,,,0
Oromia,Kellem Wollega,Sayo,ET041805,1,1,4,17,1,5,Action Against Hunger,IYCF -E  Infant and Young Child Feeding in Emergencies; Nutrition Supplement/medicine; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Amhara,Waghimra,Sehala Seyemt,ET030806,0,0,0,0,0,0,,,0
Tigray,South Eastern,Seharti,ET010601,0,0,0,0,0,0,,,0
Somali,Korahe,Shilabo,ET050503,0,0,0,0,0,0,,,0
Tigray,North Western,Shire,ET010101,0,0,0,0,0,0,,,0
South Ethiopia,Ari zone,South Ari,ET070702,0,0,0,0,0,0,,,0
Tigray,Eastern,Subhasaesie,ET010303,0,0,0,0,0,0,,,0
Tigray,North Western,Tahtay Koraro,ET010104,2,2,5,27,1,7,International Rescue Committee; Mothers and Children Multisectoral Development Organization,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
Tigray,North Western,Tahtay Koraro,ET010104,3,2,4,31,1,7,Alliance for Medical Action; International Organization for Migration; International Rescue Committee,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme,3-4
Tigray,Central,Tahtay Maychew,ET010206,1,1,6,439,1,7,Save the Children,Capacity Building; IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Tigray,Central,Tanqua Milash,ET010222,0,0,0,0,0,0,,,0
Oromia,Borena,Teltalle,ET041212,0,0,0,0,0,0,,,0
Tigray,Eastern,Tsaeda Emba,ET010314,1,1,5,17,1,6,Concern Worldwide,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Amhara,Waghimra,Tsagbiji,ET030808,0,0,0,0,0,0,,,0
Tigray,North Western,Tsimbla,ET010113,2,2,6,58,1,8,International Rescue Committee; Tigray Development Association,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; Nutrition Supplement/medicine; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
Tigray,Eastern,Tsirae Wemberta,ET010315,0,0,0,0,0,0,,,0
South Ethiopia,South Omo,Turmi Town,ET070704,0,0,0,0,0,0,,,0
Somali,Afder,West Imi,ET050805,2,2,6,22,1,8,Concern Worldwide; Partnership for Pastoralist Development Association,"IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; Nutrition assessment (rapid assessments, surveys….); PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre",2
Oromia,South West Shoa,Wolisso town,ET041303,0,0,0,0,0,0,,,0
Amhara,Waghimra,Ziqulla,ET030801,0,0,0,0,0,0,,,0
nan,nan,nan,,0,0,0,0,0,0,,,0
